date,spot,fut
2023-12-29,1131.46,1134.6
2024-01-02,1131.64,1133.5
2024-01-03,1144.85,1148.3
2024-01-04,1156.37,1156.5
2024-01-05,1161.14,1166.0
2024-01-08,1163.52,1162.0
2024-01-09,1160.21,1163.0
2024-01-10,1162.68,1163.1
2024-01-11,1163.56,1168.1
2024-01-12,1163.66,1165.9
2024-01-15,1161.3,1162.7
2024-01-16,1170.19,1172.0
2024-01-17,1166.61,1166.0
2024-01-18,1173.91,1172.8
2024-01-19,1185.23,1190.0
2024-01-22,1189.56,1194.0
2024-01-23,1183.85,1184.0
2024-01-24,1179.45,1180.7
2024-01-25,1177.52,1180.5
2024-01-26,1182.82,1187.0
2024-01-29,1179.17,1183.6
2024-01-30,1181.71,1186.0
2024-01-31,1166.33,1171.0
2024-02-01,1173.35,1177.2
2024-02-02,1174.76,1181.1
2024-02-05,1197.36,1202.5
2024-02-06,1199.17,1203.9
2024-02-07,1212.7,1219.0
2024-02-15,1217.12,1217.8
2024-02-16,1224.54,1232.0
2024-02-19,1240.2,1240.5
2024-02-20,1241.65,1240.2
2024-02-21,1242.08,1240.0
2024-02-22,1239.9,1238.0
2024-02-23,1223.09,1225.1
2024-02-26,1233.31,1230.3
2024-02-27,1247.91,1241.0
2024-02-28,1265.35,1266.2
2024-02-29,1265.75,1262.8
2024-03-01,1267.07,1266.8
2024-03-04,1268.53,1268.4
2024-03-05,1280.17,1278.5
2024-03-06,1271.07,1266.8
2024-03-07,1276.56,1273.4
2024-03-08,1250.2,1253.8
2024-03-11,1235.12,1231.0
2024-03-12,1242.23,1239.8
2024-03-13,1272.28,1271.3
2024-03-14,1260.32,1260.8
2024-03-15,1256.42,1260.0
2024-03-18,1235.74,1230.9
2024-03-19,1234.74,1230.0
2024-03-20,1259.06,1255.5
2024-03-21,1281.57,1275.7
2024-03-22,1284.14,1284.5
2024-03-25,1270.0,1268.9
2024-03-26,1286.23,1285.0
2024-03-27,1288.77,1288.0
2024-03-28,1303.2,1306.9
2024-03-29,1296.9,1298.1
2024-04-01,1292.62,1290.4
2024-04-02,1292.3,1290.0
2024-04-03,1274.27,1271.9
2024-04-04,1267.65,1265.0
2024-04-05,1257.78,1252.1
2024-04-08,1254.72,1254.2
2024-04-09,1266.92,1264.2
2024-04-10,1263.82,1260.1
2024-04-11,1262.86,1263.0
2024-04-12,1284.74,1286.0
2024-04-15,1227.9,1236.3
2024-04-16,1232.7,1230.0
2024-04-17,1210.74,1214.6
2024-04-19,1194.03,1191.7
2024-04-22,1206.64,1205.3
2024-04-23,1200.37,1200.6
2024-04-24,1232.17,1230.5
2024-04-25,1233.72,1227.0
2024-04-26,1240.5,1232.4
2024-05-02,1247.21,1242.4
2024-05-03,1255.62,1249.6
2024-05-06,1274.62,1270.0
2024-05-07,1284.85,1276.0
2024-05-08,1284.85,1279.0
2024-05-09,1281.47,1269.0
2024-05-10,1277.47,1270.4
2024-05-13,1272.53,1266.0
2024-05-14,1277.31,1274.4
2024-05-15,1289.97,1286.1
2024-05-16,1308.27,1309.8
2024-05-17,1310.15,1307.9
2024-05-20,1312.55,1310.1
2024-05-21,1308.62,1312.1
2024-05-22,1291.46,1292.2
2024-05-23,1304.76,1300.0
2024-05-24,1283.46,1277.7
2024-05-27,1284.88,1276.2
2024-05-28,1299.75,1292.5
2024-05-29,1284.02,1277.5
2024-05-30,1279.29,1270.0
2024-05-31,1275.97,1270.0
2024-06-03,1297.78,1291.5
2024-06-04,1300.99,1295.0
2024-06-05,1299.66,1295.0
2024-06-06,1302.28,1298.7
2024-06-07,1308.03,1308.0
2024-06-10,1311.1,1310.9
2024-06-11,1308.3,1305.0
2024-06-12,1331.81,1330.7
2024-06-13,1333.85,1335.0
2024-06-14,1316.46,1317.0
2024-06-17,1309.7,1308.0
2024-06-18,1309.89,1308.5
2024-06-19,1314.22,1317.0
2024-06-20,1322.36,1323.7
2024-06-21,1319.93,1320.9
2024-06-24,1289.85,1290.7
2024-06-25,1288.8,1287.7
2024-06-26,1291.3,1290.0
2024-06-27,1289.03,1289.0
2024-06-28,1278.32,1274.3
2024-07-01,1285.48,1285.0
2024-07-02,1296.06,1295.2
2024-07-03,1305.5,1307.0
2024-07-04,1310.63,1308.6
2024-07-05,1316.18,1316.3
2024-07-08,1315.83,1314.0
2024-07-09,1321.78,1320.5
2024-07-10,1310.91,1310.0
2024-07-11,1306.22,1305.7
2024-07-12,1301.81,1300.0
